tree_id,樹種,経度,緯度,区分,場所,出典
PT0273-00-0162,アカマツ,139.6427992,35.68208097,公園樹木（杉並区）,大宮の杜緑地,suginami_park_matsu
PT0306-00-0019,アカマツ,139.6271614,35.714643,公園樹木（杉並区）,天沼児童遊園,suginami_park_matsu
PT0346-00-0008,アカマツ,139.639717,35.71388236,公園樹木（杉並区）,阿佐谷北第二児童遊園,suginami_park_matsu
PT0346-00-0019,アカマツ,139.6395989,35.71376608,公園樹木（杉並区）,阿佐谷北第二児童遊園,suginami_park_matsu
PT0347-00-0011,マツ,139.6561156,35.70818014,公園樹木（杉並区）,高円寺北一児童遊園,suginami_park_matsu
PT1108-00-0032,マツ,139.6219748,35.699342,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0033,マツ,139.6219929,35.69933678,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0036,マツ,139.6220458,35.69932689,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0037,マツ,139.6220644,35.69932536,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0043,マツ,139.6220784,35.69931692,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0045,マツ,139.6221124,35.69930964,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0052,マツ,139.6221799,35.69929658,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0055,マツ,139.6221992,35.69929242,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0058,マツ,139.6222378,35.69928594,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0077,マツ,139.622166,35.69921828,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0079,マツ,139.6221939,35.69920886,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0080,マツ,139.6222199,35.69920864,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0242,マツ,139.6227131,35.69893233,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0253,クロマツ,139.622135,35.69890067,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0258,マツ,139.622101,35.69889367,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0281,マツ,139.6226412,35.69886742,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0294,アカマツ,139.6226266,35.69885761,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
